start_station_name,end_station_name,member_casual,avgTemp,season,date,day_name,time_period,rideable_type,daily_rides,trip_duration
Jersey & 3rd,City Hall - Washington St & 1 St,member,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,566.0
Marin Light Rail,Marin Light Rail,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,1009.0
Madison St & 1 St,Madison St & 1 St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,975.0
Hoboken Terminal - River St & Hudson Pl,Pershing Field,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,679.0
Washington St,Washington St,member,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,786.0
Paulus Hook,Liberty Light Rail,casual,11.4,winter,2022-01-02,Sunday,Morning,docked_bike,1248,1213.0
Liberty Light Rail,Liberty Light Rail,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,5039.0
Grand St,Warren St,member,11.4,winter,2022-01-02,Sunday,Morning,electric_bike,1248,202.0
Hoboken Terminal - River St & Hudson Pl,Columbus Park - Clinton St & 9 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,331.0
Washington St,Lincoln Park,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,918.0
Willow Ave & 12 St,Clinton St & Newark St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,430.0
Washington St,Hoboken Terminal - River St & Hudson Pl,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,832.0
Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,436.0
Hoboken Terminal - River St & Hudson Pl,Hoboken Ave at Monmouth St,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,456.0
Newport Pkwy,Paulus Hook,casual,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,627.0
Baldwin at Montgomery,Warren St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,1117.0
Liberty Light Rail,Hoboken Terminal - Hudson St & Hudson Pl,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1368.0
Riverview Park,Hoboken Terminal - Hudson St & Hudson Pl,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,490.0
Newport Pkwy,Baldwin at Montgomery,member,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,794.0
City Hall,City Hall,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,2.0
City Hall,City Hall,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,401.0
Newport Pkwy,Clinton St & Newark St,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,438.0
Baldwin at Montgomery,Baldwin at Montgomery,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,1153.0
12 St & Sinatra Dr N,Mama Johnson Field - 4 St & Jackson St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,923.0
Newport Pkwy,8 St & Washington St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1620.0
Adams St & 11 St,Hoboken Terminal - Hudson St & Hudson Pl,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,641.0
Adams St & 11 St,11 St & Washington St,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,162.0
Adams St & 11 St,8 St & Washington St,casual,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,305.0
Willow Ave & 12 St,South Waterfront Walkway - Sinatra Dr & 1 St,member,11.4,winter,2022-01-02,Sunday,Morning,electric_bike,1248,465.0
Newport Pkwy,South Waterfront Walkway - Sinatra Dr & 1 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,367.0
Newport Pkwy,Columbus Drive,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,394.0
